epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,1388.53,0.76919,0.44125,1.16951,0.99755,1,0.995,0.7308,1.0303,0.47367,1.37347,0.000497701,0.000497701,0.000497701
155,1397.5,0.6905,0.40854,1.13401,0.99737,0.99987,0.995,0.73662,0.99128,0.47519,1.37507,0.000496287,0.000496287,0.000496287
156,1406.23,0.70108,0.41965,1.15521,0.99771,0.99763,0.995,0.72536,0.99623,0.47011,1.35772,0.000494873,0.000494873,0.000494873
157,1414.95,0.71554,0.41372,1.14394,0.99277,1,0.995,0.71609,1.03175,0.47231,1.38114,0.00049346,0.00049346,0.00049346
158,1423.76,0.72225,0.41625,1.1375,0.99401,0.99773,0.995,0.74031,1.00189,0.46649,1.35038,0.000492046,0.000492046,0.000492046
159,1432.53,0.69042,0.40177,1.13215,0.99521,0.99921,0.995,0.72418,1.02493,0.4844,1.37141,0.000490632,0.000490632,0.000490632
160,1441.57,0.76431,0.42817,1.17938,0.99623,0.99338,0.995,0.73786,0.99093,0.48419,1.35804,0.000489219,0.000489219,0.000489219
161,1450.53,0.70045,0.41039,1.13789,0.99712,0.99894,0.995,0.74214,0.99057,0.47163,1.37061,0.000487805,0.000487805,0.000487805
162,1459.33,0.67274,0.40365,1.12537,0.99349,0.99518,0.99493,0.73592,0.98215,0.46863,1.35539,0.000486391,0.000486391,0.000486391
163,1468.02,0.71695,0.42273,1.15289,0.99432,0.99439,0.99494,0.71623,1.05085,0.48249,1.41066,0.000484977,0.000484977,0.000484977
164,1476.81,0.715,0.41008,1.15369,0.99376,0.99102,0.99469,0.72782,1.03346,0.48171,1.3933,0.000483564,0.000483564,0.000483564
165,1485.77,0.6964,0.41306,1.13052,0.99462,0.99883,0.995,0.73228,1.01298,0.47797,1.37473,0.00048215,0.00048215,0.00048215
166,1494.62,0.70449,0.4222,1.12876,0.9967,1,0.995,0.70283,1.11168,0.48966,1.43678,0.000480736,0.000480736,0.000480736
167,1503.54,0.72294,0.41436,1.15779,0.99289,1,0.995,0.71199,1.06669,0.47968,1.40804,0.000479322,0.000479322,0.000479322
168,1512.47,0.73287,0.43113,1.15182,0.99611,0.99833,0.995,0.7096,1.03988,0.48445,1.41192,0.000477909,0.000477909,0.000477909
169,1521.47,0.7178,0.40336,1.14231,0.9962,0.998,0.995,0.74095,0.98551,0.47159,1.35459,0.000476495,0.000476495,0.000476495
170,1530.51,0.73266,0.4109,1.15488,0.99672,0.99696,0.99494,0.72664,1.02183,0.4684,1.3695,0.000475081,0.000475081,0.000475081
171,1539.53,0.70721,0.41371,1.14211,0.99653,0.99802,0.995,0.73442,0.98942,0.46616,1.36108,0.000473668,0.000473668,0.000473668
172,1548.29,0.66152,0.3967,1.10635,0.99476,0.99771,0.995,0.74962,0.96871,0.459,1.34301,0.000472254,0.000472254,0.000472254
173,1556.91,0.6671,0.39334,1.10349,0.99382,0.99827,0.995,0.72847,1.02408,0.47351,1.37788,0.00047084,0.00047084,0.00047084
174,1565.81,0.68425,0.40544,1.11004,0.99357,1,0.995,0.73469,0.98906,0.46388,1.36757,0.000469426,0.000469426,0.000469426
175,1575.03,0.63877,0.38415,1.08604,0.99315,1,0.995,0.73269,1.01611,0.46674,1.38417,0.000468013,0.000468013,0.000468013
